opponent_name,competition_name,home_or_away,match_date,kickoff_time,venue,team_score,opponent_score,match_status
הפועל הגליל,ליגת נוער ארצית,home,2026-09-05,18:00,אצטדיון אופק,2,1,completed
מכבי העמק,ליגת נוער ארצית,away,2026-09-12,17:30,מגרש העמק,1,1,completed
עירוני השרון,ליגת נוער ארצית,home,2026-09-19,18:00,אצטדיון אופק,3,0,completed
ביתר הגבעה,ליגת נוער ארצית,away,2026-09-26,18:30,מגרש הגבעה,0,1,completed
הפועל החוף,ליגת נוער ארצית,home,2026-10-03,17:30,אצטדיון אופק,4,2,completed
מכבי השדות,ליגת נוער ארצית,away,2026-10-10,17:00,מגרש השדות,2,0,completed
עירוני נחליאל,ליגת נוער ארצית,home,2026-10-17,17:00,אצטדיון אופק,1,1,completed
הפועל הכרמל,ליגת נוער ארצית,away,2026-10-24,16:30,אצטדיון הכרמל,3,2,completed
מכבי עמק הירדן,ליגת נוער ארצית,home,2026-10-31,16:00,אצטדיון אופק,2,0,completed
הפועל רמות,ליגת נוער ארצית,away,2026-11-07,15:30,מגרש רמות,1,2,completed
עירוני הרצל,ליגת נוער ארצית,home,2026-11-14,15:30,אצטדיון אופק,3,1,completed
מכבי הדרים,ליגת נוער ארצית,away,2026-11-21,15:00,מגרש הדרים,0,0,completed
הפועל נוף,ליגת נוער ארצית,home,2026-11-28,15:00,אצטדיון אופק,2,1,completed
מכבי פסגות,ליגת נוער ארצית,away,2026-12-05,14:30,מגרש פסגות,1,3,completed
עירוני הדס,ליגת נוער ארצית,home,2026-12-12,14:30,אצטדיון אופק,4,0,completed
הפועל בקעה,ליגת נוער ארצית,away,2026-12-19,14:00,מגרש הבקעה,2,2,completed
מכבי נחל,ליגת נוער ארצית,home,2026-12-26,14:00,אצטדיון אופק,1,0,completed
עירוני ברק,ליגת נוער ארצית,away,2027-01-02,14:00,מגרש ברק,3,1,completed
הפועל הגליל,ליגת נוער ארצית,away,2027-01-09,14:30,מגרש הגליל,2,1,completed
מכבי העמק,ליגת נוער ארצית,home,2027-01-16,15:00,אצטדיון אופק,2,2,completed
עירוני השרון,ליגת נוער ארצית,away,2027-01-23,15:30,אצטדיון השרון,1,0,completed
ביתר הגבעה,ליגת נוער ארצית,home,2027-01-30,16:00,אצטדיון אופק,3,1,completed
הפועל החוף,ליגת נוער ארצית,away,2027-02-06,16:30,מגרש החוף,2,3,completed
מכבי השדות,ליגת נוער ארצית,home,2027-02-13,17:00,אצטדיון אופק,4,1,completed
עירוני נחליאל,ליגת נוער ארצית,away,2027-02-20,17:30,מגרש נחליאל,1,1,completed
הפועל הכרמל,ליגת נוער ארצית,home,2027-02-27,18:00,אצטדיון אופק,2,0,completed
מכבי עמק הירדן,ליגת נוער ארצית,away,2027-03-06,18:00,מגרש עמק הירדן,0,1,completed
הפועל רמות,ליגת נוער ארצית,home,2027-03-13,18:30,אצטדיון אופק,3,0,completed
עירוני הרצל,ליגת נוער ארצית,away,2027-03-20,18:30,מגרש הרצל,2,2,completed
מכבי הדרים,ליגת נוער ארצית,home,2027-03-27,19:00,אצטדיון אופק,1,0,completed
הפועל נוף,ליגת נוער ארצית,away,2027-04-03,19:00,מגרש נוף,2,1,completed
מכבי פסגות,ליגת נוער ארצית,home,2027-04-10,19:00,אצטדיון אופק,3,2,completed
עירוני הדס,ליגת נוער ארצית,away,2027-04-17,19:00,מגרש הדס,1,1,completed
הפועל בקעה,ליגת נוער ארצית,home,2027-04-24,19:00,אצטדיון אופק,2,0,completed
מכבי נחל,ליגת נוער ארצית,away,2027-05-01,19:00,מגרש הנחל,,,scheduled
עירוני ברק,ליגת נוער ארצית,home,2027-05-08,19:00,אצטדיון אופק,,,scheduled
