opponent_name,competition_name,home_or_away,match_date,kickoff_time,venue,team_score,opponent_score,match_status
הפועל רעננה,משחק אימון,home,2026-08-08,18:00,מגרש האימונים לויטה,,,scheduled
הפועל כפר סבא,משחק אימון,away,2026-08-12,18:30,מגרש לויטה,,,scheduled
מכבי הרצליה,משחק אימון,home,2026-08-16,18:00,מגרש האימונים לויטה,,,scheduled
הפועל פתח תקווה,משחק אימון,away,2026-08-20,18:30,מתחם סירקין,,,scheduled
מכבי נתניה,משחק אימון,home,2026-08-25,18:00,מגרש האימונים לויטה,,,scheduled
הפועל ראשון לציון,משחק אימון,away,2026-08-30,18:00,הסופרלנד,,,scheduled
מכבי תל אביב,ליגה ארצית דרום,home,2026-09-05,11:00,מגרש האימונים לויטה,,,scheduled
הפועל תל אביב,ליגה ארצית דרום,away,2026-09-12,11:00,מתחם וולפסון,,,scheduled
ביתר ירושלים,ליגה ארצית דרום,home,2026-09-19,11:00,מגרש האימונים לויטה,,,scheduled
מכבי חיפה,ליגה ארצית דרום,away,2026-09-26,11:00,קצף,,,scheduled
הפועל באר שבע,ליגה ארצית דרום,home,2026-10-03,11:00,מגרש האימונים לויטה,,,scheduled
מכבי פתח תקווה,ליגה ארצית דרום,away,2026-10-10,11:00,קריית שלום,,,scheduled
הפועל חדרה,ליגה ארצית דרום,home,2026-10-17,11:00,מגרש האימונים לויטה,,,scheduled
מכבי נתניה,ליגה ארצית דרום,away,2026-10-24,11:00,שפירא נתניה,,,scheduled
בני יהודה,ליגה ארצית דרום,home,2026-10-31,11:00,מגרש האימונים לויטה,,,scheduled
הפועל רמת גן,ליגה ארצית דרום,away,2026-11-07,11:00,אצטדיון רמת גן,,,scheduled
הפועל ירושלים,ליגה ארצית דרום,home,2026-11-14,11:00,מגרש האימונים לויטה,,,scheduled
מכבי יבנה,ליגה ארצית דרום,away,2026-11-21,11:00,מגרש יבנה,,,scheduled
סקציה נס ציונה,ליגה ארצית דרום,home,2026-11-28,11:00,מגרש האימונים לויטה,,,scheduled
הפועל אשדוד,ליגה ארצית דרום,away,2026-12-05,11:00,אצטדיון הי״א,,,scheduled
מכבי באר שבע,ליגה ארצית דרום,home,2026-12-12,11:00,מגרש האימונים לויטה,,,scheduled
הפועל מרמורק,ליגה ארצית דרום,away,2026-12-19,11:00,מגרש רחובות,,,scheduled
מכבי קריית גת,ליגה ארצית דרום,home,2026-12-26,11:00,מגרש האימונים לויטה,,,scheduled
הפועל לוד,ליגה ארצית דרום,away,2027-01-02,11:00,מגרש לוד,,,scheduled
מכבי תל אביב,ליגה ארצית דרום,away,2027-01-16,11:00,קריית שלום,,,scheduled
הפועל תל אביב,ליגה ארצית דרום,home,2027-01-23,11:00,מגרש האימונים לויטה,,,scheduled
ביתר ירושלים,ליגה ארצית דרום,away,2027-01-30,11:00,בית וגן,,,scheduled
מכבי חיפה,ליגה ארצית דרום,home,2027-02-06,11:00,מגרש האימונים לויטה,,,scheduled
הפועל באר שבע,ליגה ארצית דרום,away,2027-02-13,11:00,וסרמיל,,,scheduled
מכבי פתח תקווה,ליגה ארצית דרום,home,2027-02-20,11:00,מגרש האימונים לויטה,,,scheduled
הפועל חדרה,ליגה ארצית דרום,away,2027-02-27,11:00,מגרש חדרה,,,scheduled
מכבי נתניה,ליגה ארצית דרום,home,2027-03-06,11:00,מגרש האימונים לויטה,,,scheduled
בני יהודה,ליגה ארצית דרום,away,2027-03-13,11:00,שכונת התקווה,,,scheduled
הפועל רמת גן,ליגה ארצית דרום,home,2027-03-20,11:00,מגרש האימונים לויטה,,,scheduled
הפועל ירושלים,ליגה ארצית דרום,away,2027-03-27,11:00,טדי,,,scheduled
מכבי יבנה,ליגה ארצית דרום,home,2027-04-03,11:00,מגרש האימונים לויטה,,,scheduled
סקציה נס ציונה,ליגה ארצית דרום,away,2027-04-10,11:00,נס ציונה,,,scheduled
הפועל אשדוד,ליגה ארצית דרום,home,2027-04-17,11:00,מגרש האימונים לויטה,,,scheduled
מכבי באר שבע,ליגה ארצית דרום,away,2027-04-24,11:00,וסרמיל,,,scheduled
הפועל מרמורק,ליגה ארצית דרום,home,2027-05-01,11:00,מגרש האימונים לויטה,,,scheduled
מכבי קריית גת,ליגה ארצית דרום,away,2027-05-08,11:00,קריית גת,,,scheduled
הפועל לוד,ליגה ארצית דרום,home,2027-05-15,11:00,מגרש האימונים לויטה,,,scheduled
הפועל רעננה,גביע המדינה,away,2026-10-14,17:00,רעננה,,,scheduled
מכבי הרצליה,גביע המדינה,home,2026-11-18,17:00,מגרש האימונים לויטה,,,scheduled
הפועל פתח תקווה,גביע המדינה,away,2026-12-23,17:00,סירקין,,,scheduled
מכבי נתניה,גביע המדינה,home,2027-01-27,17:00,מגרש האימונים לויטה,,,scheduled
